Data comes from State of Indiana Survey (State Survey) and EPA's Safe Drinking Water Information System (SDWIS).,,,,,,,,,,
Water System,Responded to State Survey?,# with Lead Service Line,% with Lead Service Line,Data Source,Full Address,Latitude,Longitude,SDWIS Total # of Service Connections,SDWIS LCR 90th Percentile Sample (ppm),SDWIS PWS ID
Wastewater One LLC-Rivers Edge Utility,No,No response,Unknown,Unknown,"1829 East Spring Street Suite 106, New Albany, IN 47150",38.294705,-85.804158,96,Unknown,IN5210022
Water Service Company,Yes,0,0%,Unknown,"10994 Four Seasons Place Suite 100 G, Crown Point, IN 46307",41.418628,-87.23655,190,Unknown,IN5237002
Waterloo Water Works,Yes,No response,Unknown,Unknown,"385 West Walnut Street P.O. Box 96, Waterloo, IN 46793",41.425895,-85.023911,738,Unknown,IN5217007
Watson Rural Water Company,Yes,No response,Unknown,Unknown,"4106 Utica-Sellersburg Road, Jeffersonville, IN 47130",38.355484,-85.707537,5706,0.011,IN5210016
Waubee Lake Mobile Home Park,No,No response,Unknown,Unknown,"832 East Mock Road, Milford, IN 46542",41.382814,-85.828934,21,Unknown,IN5243031
Waveland Place,No,No response,Unknown,Unknown,"8103 East US 36 #230, Avon, IN 46123",39.762538,-86.380367,16,Unknown,IN5232005
Wawasee Mobile Village,Yes,0,0%,Estimated,"10056 North Turkey Creek Road, Syracuse, IN 46567",41.381366,-85.666761,21,Unknown,IN5243050
Waynetown Water Works,No,No response,Unknown,Unknown,"P.O. Box 215, Waynetown, IN 47990-0215",40.087541,-87.059731,433,Unknown,IN5254013
Wells Homeowners Association Inc,No,No response,Unknown,Unknown,"P.O. Box 1034, Peru, IN 46970-1034",40.753653,-86.068881,39,Unknown,IN5252009
West Haven Estates Mobile Home Park,No,No response,Unknown,Unknown,"3762 West Old Road 30, Warsaw, IN 46850",41.249948,-85.916118,243,Unknown,IN5243028
West Lebanon Water Works,No,No response,Unknown,Unknown,"P.O. Box 201 201 North High Street, West Lebanon, IN 47991",40.273268,-87.38661,340,Unknown,IN5286003
West Terre Haute Water,No,No response,Unknown,Unknown,"500 West National Avenue, West Terre Haute, IN 47885",39.465718,-87.448979,1656,Unknown,IN5284015
Western Estates Mobile Home Park,Yes,No response,Unknown,Unknown,"P.O. Box 3067, Carmel, IN 46082-3067",39.97,-86.17,78,Unknown,IN5234002
Westport Water Company,Yes,0,0%,Estimated,"P.O. Box 579, Westport, IN 47283",39.175885,-85.573027,645,Unknown,IN5216005
Westville Correctional Facility,Yes,No response,Unknown,Unknown,"5501 South 1100 West, Westville, IN 46391",41.532921,-86.91212,57,0.013,IN5246001
Westville Estates,No,No response,Unknown,Unknown,"11199 IN-2, Westville, IN 46391",41.540502,-86.917981,98,Unknown,IN5246031
Westville Water Department,Yes,0,0%,Unknown,"P.O. Box 275, Westville, IN 46391-0275",41.54143,-86.900582,630,Unknown,IN5246029
Wheatland Water Works,No,No response,Unknown,Unknown,"P.O. Box 09, Wheatland, IN 46597-0009",41.583447,-85.858918,198,Unknown,IN5242016
Whiteland Water Works,Yes,0,0%,Unknown,"549 Main Street, Whiteland, IN 46184",39.549766,-86.079182,1708,0.0001,IN5241009
Whites Residential - North Campus,Yes,No response,Unknown,Unknown,"5233 S 50 E, Wabash, IN 46992",40.746144,-85.779613,Unknown,Unknown,IN5237013
Whites Residential & Family Services,Yes,No response,Unknown,Unknown,"5233 South 50 East, Wabash, IN 46992-9429",40.746144,-85.779613,42,Unknown,IN5285020
Whitestown South,Yes,0,0%,Recorded,"6210 Veterans Drive Room 600, Whitestown, IN 46075",39.950557,-86.33781,2326,0.0006,IN5206014
Whiting Water Department,Yes,1158,76.33%,Unknown,"1443 119th Street, Whiting, IN 46394",41.679696,-87.49355,1517,0.0084,IN5245048
Wildcat Highlands,No,No response,Unknown,Unknown,"1100 Hasp Way, Lafayette, IN 47905",40.435701,-86.820423,120,Unknown,IN5279026
Wilfred Water Corporation,No,No response,Unknown,Unknown,"P.O. Box 23, Shelburn, IN 47879",39.178179,-87.393196,150,Unknown,IN5277010
Williamsport Water Utility,Yes,220,24.39%,Estimated,"29 North Monroe Town Hall, Williamsport, IN 47993",40.286801,-87.293541,902,Unknown,IN5286004
Willow Springs Mobile Home Park,No,No response,Unknown,Unknown,"Rd. 31, Peru, IN 46970",40.778939,-86.12832,24,Unknown,IN5252010
Winamac Municipal Utilities,No,No response,Unknown,Unknown,"120 West Main Street, Winamac, IN 46996",41.050842,-86.605077,1200,Unknown,IN5266005
Windfall Water Department,Yes,No response,Unknown,Unknown,"P.O. Box 486, Windfall, IN 46076",40.363107,-85.956469,402,0.023,IN5280005
Windstar Park Inc,No,No response,Unknown,Unknown,"5315 South County Farm Road, Claypool, IN 46510",41.155533,-85.83707,28,Unknown,IN5243047
Wingate Water Works,No,No response,Unknown,Unknown,"2038 West County Road 900 North, Roachdale, IN 46172-9396",39.791667,-86.885353,110,Unknown,IN5254014
Winslow Water Works,No,No response,Unknown,Unknown,"P.O. Box 69, Winslow, IN 47598",38.382272,-87.212786,447,Unknown,IN5263006
Wolcott Water Works,No,No response,Unknown,Unknown,"P.O. Box 38, Wolcott, IN 47995",40.758095,-87.041684,473,Unknown,IN5291015
Wolcottville Water Works,Yes,No response,Unknown,Unknown,"P.O. Box 325, Wolcottville, IN 46795",41.525883,-85.366645,331,Unknown,IN5244010
Woodberry Mobile Home Park,No,No response,Unknown,Unknown,"0999 West 650 North #36, Laporte, IN 46350",41.701401,-86.718078,50,Unknown,IN5246010
Woodburn Water Works,Yes,0,0%,Recorded,"23304 Tile Mill Road, Woodburn, IN 46797",41.131319,-84.841973,853,Unknown,IN5202024
Woodland Estates,No,No response,Unknown,Unknown,"7428 West 100 North, Greenfield, IN 46140",39.797837,-85.942091,106,Unknown,IN5234001
Woodland Hills Mobile Home Park #1,Yes,0,0%,Unknown,"2934 S 300 W, Peru, IN 46970",40.723063,-86.132289,47,Unknown,IN5252008
Woodland Hills Mobile Home Park #2,Yes,0,0%,Unknown,"158 Woodland Hills, Peru IN 46970",40.72336,-86.128424,88,Unknown,IN5252017
Woodland Village Mobile Home Park,No,No response,Unknown,Unknown,"5757 Melton Road, Portage IN 46368",41.592764,-87.192592,36,Unknown,IN5273007
Woodview Mobile Home Park,No,No response,Unknown,Unknown,"14136 Milton Road, Milton, IN 47357",39.787403,-85.143146,44,Unknown,IN5289014
WS & LS LLC DBA Countryside Villas,No,No response,Unknown,Unknown,"215 Lakeshore Drive, Lebanon, IN 46052",40.071573,-86.470546,32,Unknown,IN5234013
Yorktown Water Department,Yes,0,0%,Unknown,"9800 West Smith Street, Yorktown, IN 47396",40.171861,-85.500962,1859,0.003,IN5218014
Zionsville Mobile Home Park Trust,No,No response,Unknown,Unknown,"P.O. Box 88724, Indianapolis, IN 46208",39.820606,-86.170089,31,Unknown,IN5206002
